title,genres,vote_average,adult,runtime
Volcano High,"Action, Comedy",5.6,False,120.0
Ten,Drama,6.4,False,94.0
Bringing Down the House,Comedy,5.4,False,105.0
Tears of the Sun,"Action, Drama, War",6.4,False,121.0
Irreversible,"Drama, Thriller, Crime, Mystery",7.1,False,97.0
Laurel Canyon,Drama,5.7,False,103.0
Nowhere in Africa,Drama,7.0,False,140.0
The Safety of Objects,Drama,7.3,False,121.0
Bend It Like Beckham,"Comedy, Drama, Romance",6.2,False,112.0
The Hunted,"Drama, Action, Thriller, Crime",6.0,False,94.0
Willard,Horror,5.8,False,100.0
Gaudi Afternoon,,5.7,False,97.0
Prozac Nation,Drama,5.7,False,95.0
Spun,"Comedy, Crime, Drama",6.6,False,101.0
Under the Skin of the City,"Drama, Foreign",6.5,False,92.0
King of Kings,Drama,7.2,False,168.0
The Lost Honor of Katharina Blum,"Comedy, Drama",7.2,False,106.0
Loving You,"Drama, Music, Romance",5.2,False,101.0
The Talk of the Town,"Comedy, Drama, Romance, Thriller",6.4,False,118.0
Two-Lane Blacktop,Drama,6.7,False,102.0
Bang the Drum Slowly,Drama,6.3,False,96.0
The Benny Goodman Story,"Drama, Music",5.9,False,102.0
Born Free,"Family, Adventure, Drama",6.5,False,95.0
Born Yesterday,"Romance, Comedy",4.8,False,100.0
Equus,"Drama, Mystery",6.9,False,137.0
Europa Europa,"History, Drama",7.3,False,108.0
Fear Strikes Out,Drama,7.0,False,100.0
The Glenn Miller Story,"History, Drama, Music",6.6,False,115.0
Green Card,"Comedy, Drama, Romance",5.9,False,108.0
Journey to the Center of the Earth,"Adventure, Fantasy, Family",6.7,False,132.0
One Good Cop,"Drama, Action",4.8,False,105.0
Pauline at the Beach,"Romance, Comedy, Drama",7.8,False,94.0
Ringu,"Horror, Thriller",6.9,False,96.0
Ringu 2,Horror,5.4,False,92.0
Salaam Bombay!,"Drama, Crime",7.1,False,113.0
Sweet Charity,"Comedy, Drama, Music, Romance",6.5,False,149.0
Talent for the Game,Drama,6.0,False,91.0
Women in Love,"Drama, Romance",5.9,False,131.0
Japón,"Drama, Foreign",7.3,False,130.0
Boat Trip,Comedy,4.7,False,94.0
Dreamcatcher,"Drama, Horror, Science Fiction, Thriller",5.2,False,136.0
Piglet's Big Movie,"Animation, Family",6.1,False,75.0
View from the Top,"Comedy, Romance",5.0,False,87.0
Down & Out With The Dolls,"Comedy, Music",0.0,False,88.0
The Awful Truth,"Comedy, Drama, Romance",7.2,False,91.0
The Bible: In the Beginning...,Drama,6.2,False,174.0
The House with Laughing Windows,"Horror, Mystery, Thriller",6.9,False,110.0
I Am Curious (Yellow),Drama,4.7,False,121.0
Les Dames du Bois de Boulogne,"Drama, Romance",7.6,False,86.0
My Friend Flicka,"Action, Adventure, Drama, Family",3.8,False,89.0
The Robe,Drama,6.4,False,135.0
Wind,"Action, Drama",6.1,False,126.0
Unknown Pleasures,"Comedy, Drama",6.8,False,113.0
Basic,"Action, Drama, Mystery, Thriller, Crime",6.2,False,98.0
The Core,"Action, Thriller, Adventure, Science Fiction",5.5,False,136.0
Head of State,Comedy,5.3,False,95.0
What a Girl Wants,Comedy,5.8,False,105.0
Assassination Tango,"Drama, Romance, Thriller",5.3,False,114.0
Raising Victor Vargas,"Drama, Romance",7.8,False,88.0
Stevie,"Documentary, Drama, Foreign",6.7,False,140.0
Dreams,"Fantasy, Drama, Science Fiction",7.5,False,119.0
Day for Night,"Comedy, Drama",8.0,False,115.0
Eye of God,"Drama, Thriller, Crime, Mystery",6.0,False,84.0
In a Lonely Place,"Drama, Mystery, Thriller",7.5,False,94.0
Physical Evidence,"Crime, Thriller",4.8,False,99.0
Square Dance,"Drama, Romance",5.3,False,112.0
Wake of the Red Witch,"Action, Drama",5.2,False,106.0
Winter Kills,"Drama, Thriller",6.1,False,97.0
Fellini: I'm a Born Liar,Documentary,5.7,False,105.0
The Good Thief,"Crime, Drama, Thriller",6.0,False,108.0
A Man Apart,"Action, Drama",5.8,False,109.0
Phone Booth,"Thriller, Drama",6.7,False,81.0
Cet Amour-là,Drama,7.0,False,100.0
Cowboy Bebop: The Movie,"Action, Animation, Science Fiction",7.3,False,116.0
DysFunktional Family,"Comedy, Documentary",6.1,False,89.0
Levity,"Crime, Drama",5.9,False,100.0
The Man Without a Past,"Romance, Comedy, Drama",7.0,False,97.0
Anger Management,Comedy,5.9,False,106.0
Better Luck Tomorrow,"Crime, Drama",6.5,False,101.0
Ghosts of the Abyss,Documentary,7.1,False,92.0
House of 1000 Corpses,Horror,6.0,False,89.0
Lilya 4-ever,"Crime, Drama",7.7,False,109.0
Marion Bridge,Drama,6.2,False,90.0
XX/XY,"Drama, Comedy, Romance",5.4,False,91.0
Bulletproof Monk,"Action, Comedy, Fantasy",5.2,False,104.0
Chasing Papi,"Comedy, Romance",6.3,False,80.0
A Mighty Wind,"Comedy, Music",6.6,False,91.0
Holes,"Adventure, Family, Drama, Comedy",6.7,False,117.0
Malibu's Most Wanted,"Comedy, Crime",4.7,False,86.0
Winged Migration,Documentary,7.1,False,98.0
Flickering Lights,"Action, Comedy, Crime",7.1,False,109.0
Straw Dogs,"Crime, Drama, Thriller, Mystery",7.2,False,118.0
Beginning of the End,Science Fiction,3.9,False,73.0
The Andromeda Strain,"Science Fiction, Thriller",7.0,False,131.0
Brainscan,"Fantasy, Horror, Science Fiction",6.0,False,96.0
Fahrenheit 451,"Drama, Science Fiction",7.0,False,112.0
I Am Trying to Break Your Heart,"Music, Documentary",8.0,False,92.0
The Iceman Cometh,Drama,5.1,False,239.0
Legal Eagles,"Comedy, Crime, Drama, Romance, Thriller",5.9,False,116.0
Married to It,"Comedy, Romance",5.7,False,112.0
Memories of Me,"Drama, Comedy",5.0,False,103.0
The Other Side of Heaven,"Action, Adventure, Drama, Family",6.7,False,113.0
A Private Function,Comedy,5.8,False,94.0
Sibling Rivalry,"Comedy, Romance",3.8,False,87.0
Undercover Blues,"Comedy, Crime",6.2,False,90.0
Wildcats,"Comedy, Drama",6.2,False,106.0
The Wiz,"Adventure, Family, Fantasy, Music",5.8,False,134.0
Swords of Blood,"Action, Comedy, Romance",6.4,False,104.0
The Marrying Man,"Action, Comedy, Romance, Thriller",5.0,False,116.0
My Father the Hero,"Comedy, Drama",5.4,False,105.0
Scenes from a Mall,Comedy,4.8,False,89.0
Stella,Drama,6.2,False,109.0
Confidence,"Action, Comedy, Thriller, Crime",6.4,False,97.0
Identity,"Mystery, Thriller",7.1,False,90.0
It Runs in the Family,"Comedy, Drama, Family",5.2,False,109.0
The Real Cancun,Documentary,3.3,False,96.0
City of Ghosts,Thriller,5.4,False,116.0
A Decade Under the Influence,"Comedy, Documentary, Romance",8.0,False,152.0
House of Fools,"Drama, Music, Romance, Foreign",5.7,False,104.0
Manic,Drama,7.2,False,100.0
People I Know,"Drama, Thriller",5.5,False,100.0
Spellbound,Documentary,7.2,False,97.0
The Lizzie McGuire Movie,"Family, Comedy",5.8,False,94.0
X2,"Adventure, Action, Science Fiction, Thriller",6.8,False,133.0
Blue Car,Drama,6.7,False,92.0
The Dancer Upstairs,"Crime, Drama, Romance, Thriller",6.8,False,132.0
Marooned in Iraq,"Drama, Foreign",8.5,False,108.0
Owning Mahowny,"Crime, Drama, Thriller",6.8,False,104.0
Daddy Day Care,"Comedy, Family",5.6,False,92.0
Man on the Train,"Crime, Drama",6.9,False,90.0
Only the Strong Survive,"Documentary, Music",7.0,False,95.0
The Shape of Things,"Comedy, Drama, Romance",6.4,False,96.0
The Trip,"Drama, Romance",5.4,False,95.0
Washington Heights,"Drama, Romance",8.5,False,89.0
101 Reykjavik,"Drama, Comedy, Romance",6.7,False,88.0
A Chorus Line,"Drama, Music",6.1,False,113.0
Absolute Beginners,"Fantasy, Drama, Music, Romance",5.9,False,108.0
Beat Street,"Drama, Music",6.9,False,105.0
Breakin' 2: Electric Boogaloo,"Drama, Music",5.1,False,94.0
Breakin',Music,5.8,False,90.0
Castle in the Sky,"Adventure, Fantasy, Animation, Action, Family, Romance",7.8,False,124.0
Hysterical Blindness,"TV Movie, Drama, Romance",4.9,False,99.0
Lambada,"Drama, Music, Romance",4.6,False,104.0
Roadie,"Comedy, Music",6.8,False,106.0
The Carpetbaggers,Drama,5.3,False,150.0
Les Girls,"Comedy, Music, Romance",6.4,False,114.0
Gunfight at the O.K. Corral,Western,6.9,False,122.0
High Society,"Comedy, Drama, Music, Romance",7.2,False,111.0
Kiss Me Kate,Music,6.8,False,109.0
The Matrix Reloaded,"Adventure, Action, Thriller, Science Fiction",6.7,False,138.0
Dracula: Pages from a Virgin's Diary,Horror,6.9,False,75.0
Down with Love,"Action, Comedy, Romance, Thriller",6.1,False,101.0
Cinemania,Documentary,7.1,False,79.0
Friends and Family,"Action, Comedy",4.3,False,87.0
The Spanish Apartment,"Drama, Comedy, Romance",7.0,False,122.0
Pokémon Heroes: Latios and Latias,"Action, Adventure, Animation, Fantasy",5.7,False,71.0
Bruce Almighty,"Fantasy, Comedy",6.4,False,101.0
The In-Laws,"Action, Comedy",5.6,False,98.0
Gigantic (A Tale Of Two Johns),Documentary,8.0,False,102.0
Respiro,"Comedy, Drama, Foreign",6.3,False,95.0
Finding Nemo,"Animation, Family",7.6,False,100.0
The Italian Job,"Action, Crime",6.6,False,110.0
Wrong Turn,"Horror, Thriller",6.0,False,84.0
Capturing the Friedmans,Documentary,7.4,False,107.0
The Three Marias,"Drama, Foreign",5.8,False,0.0
Together,Drama,6.5,False,116.0
2 Fast 2 Furious,"Action, Crime, Thriller",6.2,False,107.0
Love the Hard Way,"Romance, Drama, Crime",7.2,False,0.0
Whale Rider,"Drama, Family",7.1,False,101.0
Nevada Smith,"Action, Western",6.9,False,128.0
Once a Thief,"Action, Comedy, Thriller, Crime",6.7,False,103.0
Regeneration,"Drama, War, Foreign",5.7,False,114.0
Silk Stockings,"Comedy, Music, Romance",6.9,False,117.0
Snowball Express,"Comedy, Family",6.3,False,93.0
A Man Called Horse,"Action, Adventure, Drama, Western",6.6,False,114.0
For Sale,"Romance, Drama, Mystery",5.5,False,100.0
Big Jake,Western,6.8,False,110.0
The Crazies,"Action, Horror, Thriller",6.0,False,103.0
Dementia 13,"Horror, Thriller",5.4,False,75.0
Drole de Drame,Comedy,7.1,False,95.0
Le Mans,"Action, Drama",6.7,False,104.0
Murder on a Sunday Morning,"Crime, Documentary",7.7,False,111.0
Rio Lobo,Western,6.2,False,114.0
Siam Sunset,"Comedy, Foreign, Romance",6.7,False,91.0
The Swimmer,Drama,7.4,False,95.0
The White Sheik,"Romance, Comedy, Drama",7.2,False,86.0
Treasure Island,"Adventure, Family",6.9,False,96.0
Two Evil Eyes,"Horror, Thriller",6.1,False,120.0
Walk Don't Run,"Comedy, Romance",6.3,False,114.0
Animals Are Beautiful People,"Comedy, Documentary, Family",7.5,False,92.0
Bend of the River,Western,6.8,False,91.0
Car Wash,"Romance, Comedy, Drama",6.3,False,97.0
Come September,"Comedy, Romance",6.9,False,112.0
Destry Rides Again,"Action, Comedy, Western",6.9,False,94.0
The Electric Horseman,"Drama, Comedy, Western, Romance",5.4,False,122.0
Gay Purr-ee,"Animation, Drama, Music, Romance, Family",6.4,False,85.0
Intervista,"Drama, Comedy",5.6,False,102.0
King Rat,"Drama, War",6.7,False,134.0
Live Wire,"Action, Drama, Thriller",6.0,False,85.0
Mr & Mrs Bridge,Drama,5.3,False,126.0
Night Passage,"Action, Drama, Thriller, Western",5.7,False,90.0
The Rare Breed,Western,5.7,False,97.0
Shenandoah,"Action, Adventure, Drama, Western",6.7,False,105.0
Straight Talk,Comedy,6.0,False,91.0
Oscar,"Action, Comedy, Thriller, Family",6.2,False,109.0
The Sixth Man,"Fantasy, Drama, Comedy, Science Fiction",5.0,False,107.0
The Far Country,"Drama, Romance, Western",6.5,False,97.0
The Railway Children,"Drama, Family",7.1,False,109.0
Two Mules for Sister Sara,Western,6.6,False,116.0
Winchester '73,Western,7.5,False,92.0
Ziggy  Stardust and the Spiders from Mars,"Documentary, Music",7.6,False,90.0
Battle Cry,"Drama, Romance, War",5.3,False,149.0
The Courtship of Eddie's Father,"Drama, Comedy, Romance, Family",4.7,False,118.0
Man with a Movie Camera,"Drama, Documentary",8.1,False,68.0
"Objective, Burma!","Action, Drama, War",6.3,False,142.0
Operation Pacific,"Drama, Action, War",4.9,False,111.0
This Boy’s Life,Drama,7.0,False,115.0
13 Rue Madeleine,"Thriller, War",6.3,False,95.0
633 Squadron,"Action, Drama, History, War",5.3,False,102.0
Attack,"Action, Drama, War",6.8,False,107.0
Barton Fink,"Comedy, Drama",7.4,False,116.0
Battle of Britain,"Action, Drama, History, War",6.5,False,132.0
Belle Époque,"Comedy, Drama, Romance",6.9,False,109.0
The Big Trail,"Adventure, Western, Romance",6.4,False,125.0
Cloak and Dagger,"Drama, Thriller",6.4,False,106.0
The Comancheros,Western,6.4,False,105.0
Duel at Diablo,"Action, Western",6.3,False,103.0
The Flight of the Phoenix,"Adventure, Drama",7.0,False,142.0
From the Terrace,"Drama, Romance",5.8,False,149.0
"Heaven Knows, Mr. Allison","Adventure, Drama, War",6.8,False,108.0
The Hot Rock,"Crime, Action, Comedy",6.7,False,101.0
"The Long, Hot Summer","Drama, Romance",6.5,False,115.0
Man of Aran,"Documentary, Drama",7.0,False,76.0
Music Box,"Crime, Drama, Romance, Thriller",6.8,False,124.0
North to Alaska,Western,5.7,False,122.0
This Man Must Die,"Drama, Thriller",7.5,False,113.0
Sink the Bismarck!,"Action, Drama, History, War",6.7,False,97.0
The Blue Max,"War, Action, Adventure, Drama",6.6,False,156.0
The Desert Fox: The Story of Rommel,"Action, Drama, History, War",6.4,False,88.0
The Trial,"Crime, Drama",7.4,False,118.0
The Unforgiven,"Romance, Western, Drama",5.8,False,125.0
The Undefeated,Western,5.6,False,119.0
Divine Trash,Documentary,7.4,False,97.0
Good Burger,"Comedy, Family",5.4,False,103.0
Jubilee,"Comedy, Drama, Fantasy, Music",5.9,False,106.0
Mississippi Masala,"Drama, Romance",6.4,False,118.0
Quai des Orfèvres,"Crime, Drama",7.8,False,106.0
A Stranger Among Us,"Drama, Romance, Crime",5.2,False,110.0
Cahill U.S. Marshal,"Drama, Western",5.7,False,103.0
Chisum,Western,6.7,False,111.0
Defence of the Realm,"Action, Thriller",6.8,False,96.0
Eat a Bowl of Tea,,3.0,False,102.0
Half Moon Street,Drama,5.1,False,90.0
The Truce,"Drama, History, War",5.4,False,125.0
Opportunity Knocks,Comedy,5.3,False,103.0
Shattered,"Mystery, Thriller",6.1,False,98.0
The Song of Bernadette,Drama,7.4,False,156.0
The Life and Times of Judge Roy Bean,"Action, Comedy, Western",6.5,False,120.0
The Spirit of '76,"Comedy, Science Fiction",3.3,False,82.0
Thoroughly Modern Millie,"Comedy, Music, Romance",7.1,False,138.0
Where the Heart Is,"Comedy, Drama",6.3,False,107.0
Dumb and Dumberer: When Harry Met Lloyd,Comedy,4.1,False,85.0
From Justin to Kelly,"Comedy, Romance",3.0,False,90.0
Hollywood Homicide,"Action, Adventure, Comedy, Thriller",5.0,False,116.0
Rugrats Go Wild,"Animation, Family",5.6,False,84.0
The Hard Word,"Action, Comedy, Crime",5.7,False,102.0
The Heart of Me,"Drama, Romance",7.7,False,96.0
Jet Lag,"Comedy, Drama, Romance",5.7,False,91.0
Loco Love,"Comedy, Romance",4.7,False,94.0
Manito,Drama,5.5,False,78.0
No Turning Back,,0.0,False,101.0
Tycoon,"Drama, Action, Thriller, Crime",5.9,False,128.0
Alex & Emma,"Comedy, Romance",5.0,False,96.0
On_Line,,6.0,False,97.0
Experiment in Terror,"Crime, Thriller",6.5,False,123.0
Extasis,"Drama, Foreign",6.3,False,93.0
Is Paris Burning?,"War, Drama, History",7.2,False,175.0
Murphy's War,"Drama, War",6.4,False,107.0
Orphans of the Storm,"Drama, History",6.8,False,150.0
The Satanic Rites of Dracula,Horror,5.1,False,87.0
Strange Planet,"Comedy, Romance",6.1,False,96.0
28 Days Later,"Horror, Thriller, Science Fiction",7.1,False,113.0
Charlie's Angels: Full Throttle,"Action, Adventure, Comedy",5.2,False,106.0
Gasoline,Crime,5.4,False,90.0
Ed and His Dead Mother,Comedy,5.5,False,93.0
Fulltime Killer,"Action, Crime, Drama, Thriller",6.6,False,102.0
Just a Little Harmless Sex,"Comedy, Romance",6.0,False,98.0
The Bank,"Drama, Thriller",5.0,False,104.0
Ali: Fear Eats the Soul,"Romance, Drama",7.5,False,93.0
"Bodies, Rest & Motion","Drama, Romance",4.3,False,95.0
Jesus,"Drama, History",8.9,False,117.0
The Long Ships,"Adventure, Drama",6.0,False,126.0
Made for Each Other,"Comedy, Drama, Romance",4.9,False,92.0
Ring of Terror,"Horror, Thriller",1.2,False,71.0
You Only Live Once,"Crime, Drama, Romance",7.2,False,86.0
Anastasia,"Drama, Comedy, Romance",6.7,False,105.0
The Babe,Drama,5.4,False,115.0
Flight of the Intruder,"Action, Adventure, Drama, Thriller",5.7,False,115.0
Fun with Dick and Jane,"Comedy, Crime",6.6,False,95.0
Knights of the Round Table,"Romance, Action, Adventure, Fantasy, Drama",6.8,False,115.0
The Main Event,"Comedy, Romance",4.8,False,112.0
Man's Favorite Sport?,"Comedy, Romance",5.8,False,120.0
Mr. Baseball,"Comedy, Romance",5.8,False,108.0
Never on Sunday,"Drama, Comedy, Romance",6.0,False,91.0
Nuts,Drama,6.0,False,116.0
Rhapsody in August,"Comedy, Drama, Foreign",6.8,False,98.0
Scaramouche,"Action, Adventure, Drama",6.9,False,115.0
Start the Revolution Without Me,"Comedy, History",5.5,False,90.0
Strange Bedfellows,"Comedy, Foreign, Romance",6.8,False,98.0
The Tenant,"Horror, Thriller, Fantasy",7.7,False,125.0
The Advocate,"Drama, History, Thriller, Crime, Romance, Foreign, Comedy",5.8,False,102.0
Up the Sandbox,"Drama, Comedy",7.3,False,97.0
"What's Up, Doc?","Comedy, Romance",7.3,False,94.0
Hulk,"Drama, Action, Science Fiction",5.3,False,138.0
"Legally Blonde 2: Red, White & Blonde",Comedy,5.2,False,95.0
Sinbad: Legend of the Seven Seas,"Family, Animation, Adventure",6.6,False,86.0
Terminator 3: Rise of the Machines,"Action, Thriller, Science Fiction",5.9,False,109.0
Swimming Pool,"Thriller, Crime",6.5,False,102.0
Pirates of the Caribbean: The Curse of the Black Pearl,"Adventure, Fantasy, Action",7.5,False,143.0
Madame Satã,Drama,5.6,False,139.0
The League of Extraordinary Gentlemen,"Fantasy, Action, Thriller, Science Fiction",5.7,False,110.0
The Cuckoo,"Drama, History, Romance",6.9,False,100.0
The Holy Land,Drama,0.0,False,102.0
The Housekeeper,"Comedy, Drama, Romance",6.1,False,91.0
I Capture the Castle,"Drama, Romance",7.1,False,113.0
Km. 0,"Comedy, Romance",7.2,False,108.0
Northfork,"Fantasy, Drama, Science Fiction",6.8,False,103.0
Bad Boys II,"Adventure, Action, Comedy, Thriller, Crime",6.3,False,147.0
How to Deal,"Drama, Comedy, Romance",5.7,False,99.0
Johnny English,"Adventure, Action, Comedy",6.0,False,88.0
The Anarchist Cookbook,"Drama, Comedy, Thriller",3.8,False,101.0
Dirty Pretty Things,"Crime, Drama, Thriller",6.8,False,97.0
L'imbalsamatore,"Foreign, Drama, Romance",7.0,False,101.0
Garage Days,"Comedy, Drama, Music",4.9,False,105.0
On the Run,Thriller,7.0,False,117.0
The Sea Is Watching,"Drama, Foreign, Romance",7.0,False,119.0
Born to Be Wild,"Drama, Family",5.0,False,100.0
Curly Sue,"Comedy, Drama, Family, Romance",5.5,False,101.0
Little Giants,"Comedy, Family",6.0,False,107.0
Loose Cannons,"Action, Comedy, Crime, Mystery, Thriller",4.9,False,94.0
The Mouse That Roared,Comedy,6.9,False,83.0
Spencer's Mountain,"Drama, Comedy",6.3,False,118.0
Masked and Anonymous,"Drama, Music",5.2,False,112.0
Lara Croft Tomb Raider: The Cradle of Life,"Action, Adventure, Fantasy, Thriller",5.5,False,117.0
Seabiscuit,"Drama, History",6.8,False,141.0
Spy Kids 3-D: Game Over,"Action, Adventure, Comedy, Family, Science Fiction",4.7,False,84.0
Buffalo Soldiers,"Drama, Comedy, War, Crime, Thriller",6.5,False,98.0
Camp,"Comedy, Music",5.6,False,114.0
Hotel,Comedy,3.5,False,93.0
"Lucía, Lucía","Adventure, Drama, Comedy, Thriller, Crime, Romance, Foreign",6.3,False,110.0
Mondays in the Sun,Drama,7.0,False,113.0
Scorched,"Comedy, Crime",5.4,False,95.0
Avanti!,"Comedy, Drama, Romance",6.8,False,140.0
Eve of Destruction,"Action, Science Fiction",5.1,False,99.0
Gator,"Drama, Crime, Action",4.9,False,115.0
Juggernaut,"Thriller, Action, Crime",6.0,False,109.0
Kickboxer 2:  The Road Back,"Action, Adventure",4.2,False,89.0
"Kiss Me, Stupid","Comedy, Romance",6.7,False,125.0
"One, Two, Three","Comedy, Family",7.6,False,115.0
Possible Loves,"Drama, Thriller",6.4,False,0.0
The Private Life of Sherlock Holmes,"Adventure, Comedy, Crime, Mystery, Romance, Thriller",6.9,False,125.0
Remo Williams: The Adventure Begins...,"Comedy, Action, Adventure",6.4,False,121.0
The Blood of Heroes,"Action, Adventure, Science Fiction",5.9,False,100.0
"What's Up, Tiger Lily?","Action, Comedy",5.6,False,80.0
White Lightning,"Drama, Action, Crime",6.2,False,101.0
American Wedding,"Comedy, Romance",6.0,False,103.0
Gigli,Drama,3.5,False,121.0
And Now... Ladies and Gentlemen...,"Drama, Romance, Thriller",8.0,False,133.0
Boys Life 4: Four Play,,5.0,False,0.0
I'll Be There,"Comedy, Drama, Family, Music",5.8,False,105.0
The Magdalene Sisters,Drama,7.4,False,119.0
The Secret Lives of Dentists,Drama,6.8,False,104.0
Freaky Friday,Comedy,6.0,False,97.0
Seaside,"Drama, Foreign",2.5,False,90.0
S.W.A.T.,"Action, Thriller, Crime",5.8,False,117.0
Le Divorce,"Comedy, Drama, Romance",4.8,False,117.0
Princess Blade,"Action, Science Fiction",5.6,False,95.0
Step Into Liquid,"Documentary, Drama",7.1,False,87.0
Accattone,Drama,7.8,False,120.0
The Making of '...And God Spoke',,5.4,False,82.0
Big Trouble,"Action, Comedy",6.3,False,93.0
Brain Damage,"Comedy, Horror",6.8,False,86.0
A Double Life,"Drama, Thriller, Crime",7.1,False,104.0
Hawks and Sparrows,"Comedy, Drama",7.1,False,89.0
The Man in the Glass Booth,"Action, Drama, Thriller",6.7,False,117.0
Purpose,Thriller,3.5,False,96.0
The Red Pony,"Action, Drama, Western",5.0,False,91.0
Sex & the Other Man,"Drama, Comedy",4.3,False,89.0
The Gospel According to Matthew,"History, Drama",7.4,False,137.0
The Honeymoon Killers,"Crime, Drama, Thriller",6.7,False,108.0
Umberto D.,Drama,8.0,False,89.0
Brother's Keeper,Documentary,7.4,False,104.0
The Day of the Dolphin,"Action, Crime, Drama, Science Fiction, Thriller",5.4,False,104.0
I Love You to Death,"Action, Comedy, Crime",6.2,False,94.0
Freddy vs. Jason,Horror,5.8,False,97.0
Grind,"Action, Comedy",6.1,False,105.0
Open Range,Western,7.0,False,139.0
Shaolin Soccer,"Action, Comedy",6.6,False,113.0
Uptown Girls,Comedy,6.1,False,92.0
American Splendor,"Comedy, Drama",7.1,False,101.0
The Backyard,Documentary,9.0,False,80.0
Carnage,"Drama, Foreign",7.5,False,130.0
Passionada,"Comedy, Romance",6.7,False,108.0
Agent Cody Banks,Action,5.0,False,102.0
Camp Nowhere,"Comedy, Drama, Family",5.5,False,96.0
The Cemetery Club,Comedy,3.0,False,107.0
Changing Habits,"Romance, Comedy, Drama",1.0,False,95.0
Hot Dog... The Movie,Comedy,4.4,False,96.0
House of Wax,"Crime, Horror, Mystery",7.0,False,90.0
The Inn of the Sixth Happiness,Drama,6.6,False,158.0
Man's Best Friend,"Horror, Science Fiction, Thriller",5.5,False,97.0
Of Unknown Origin,Horror,5.9,False,88.0
Royal Deceit,"Drama, Adventure",6.1,False,85.0
Rowing with the Wind,"Horror, Drama, Romance, Thriller",4.2,False,126.0
The Rachel Papers,"Comedy, Romance",5.5,False,95.0
The Sure Thing,"Comedy, Drama, Romance",6.6,False,100.0
Thrashin',"Action, Drama",6.5,False,93.0
Valley Girl,"Comedy, Romance",6.2,False,99.0
Wait Until Dark,"Horror, Crime, Thriller",7.5,False,108.0
Where the Rivers Flow North,Drama,5.5,False,106.0
Code Unknown,"War, Drama, Romance",6.9,False,118.0
Showdown in Little Tokyo,"Action, Thriller",5.7,False,79.0
Tokyo Story,Drama,8.2,False,136.0
The Green Ray,"Drama, Romance",7.4,False,98.0
THX 1138,"Drama, Mystery, Science Fiction",6.4,False,86.0
Valley of the Dolls,"Music, Drama, Romance",6.7,False,123.0
The Business of Fancydancing,"Music, Drama",8.0,False,103.0
Chunhyang,"Drama, Romance",6.8,False,120.0
Tunes of Glory,Drama,7.1,False,102.0
Kind Hearts and Coronets,"Comedy, Drama",7.6,False,106.0
Ash Wednesday,"Drama, Action, Crime",5.5,False,99.0
Joe Kidd,Western,6.4,False,88.0
The Keep,Horror,5.9,False,96.0
Atragon,"Foreign, Science Fiction",5.3,False,96.0
The Mysterians,Science Fiction,6.1,False,89.0
Attack of the Puppet People,"Horror, Science Fiction",4.8,False,79.0
"The Beast from 20,000 Fathoms","Adventure, Horror, Science Fiction",6.7,False,80.0
10,"Comedy, Romance",5.4,False,122.0
Tremors,"Action, Horror",6.6,False,96.0
The Red Shoes,"Drama, Romance",8.2,False,133.0
Me & Isaac Newton,Documentary,0.0,False,0.0
The Pink Panther,"Comedy, Crime",6.9,False,115.0
The Pink Panther Strikes Again,"Comedy, Mystery",6.8,False,103.0
Commando,"Action, Adventure, Thriller",6.4,False,90.0
Dracula,"Horror, Romance",6.4,False,109.0
The Discreet Charm of the Bourgeoisie,Comedy,7.4,False,101.0
Waco: The Rules of Engagement,Documentary,7.3,False,136.0
The Road Home,"Drama, Romance",7.7,False,89.0
Ikiru,Drama,8.1,False,143.0
Comic Book Villains,"Action, Comedy",5.6,False,92.0
An Angel at My Table,Drama,6.9,False,158.0
War Photographer,"Documentary, Foreign",7.3,False,96.0
"Ay, Carmela!","Drama, Comedy, War",6.5,False,102.0
War and Peace,,0.0,False,148.0
Far Away,"Drama, Romance",7.0,False,120.0
Incident at Oglala,Documentary,8.2,False,89.0
Predictions of Fire,"Music, Documentary",8.0,False,90.0
The Handmaid's Tale,"Drama, Science Fiction",5.8,False,108.0
Revolution OS,Documentary,6.9,False,85.0
Live Nude Girls Unite!,Documentary,0.0,False,75.0
All the Little Animals,"Drama, Adventure",5.8,False,112.0
Earth,Drama,6.6,False,101.0
Fire,"Drama, Romance",6.0,False,108.0
Death in Venice,Drama,7.1,False,130.0
Marci X,Comedy,3.3,False,84.0
The Medallion,"Thriller, Fantasy, Action, Comedy",5.3,False,88.0
My Boss's Daughter,"Comedy, Romance",4.4,False,83.0
Autumn Spring,"Family, Comedy, Drama",7.0,False,95.0
The Battle of Shaker Heights,"Comedy, Drama, Romance",5.6,False,79.0
Don't Tempt Me,Comedy,5.9,False,95.0
Dust,"Action, Drama, Romance, Western",5.6,False,127.0
Stoked: The Rise And Fall Of Gator,Documentary,7.2,False,82.0
Venus Boyz,Documentary,7.0,False,102.0
Suddenly,"Drama, Comedy",6.3,False,90.0
Jeepers Creepers 2,"Horror, Thriller",5.5,False,104.0
Bollywood/Hollywood,"Comedy, Drama, Music, Romance",6.1,False,101.0
Civil Brand,"Crime, Drama, Thriller",5.3,False,95.0
Nola,"Comedy, Romance",0.0,False,97.0
Once Upon a Time in the Midlands,"Action, Comedy, Drama, Romance",5.9,False,104.0
The Other Side of the Bed,"Romance, Drama",6.3,False,114.0
Zero Day,Drama,7.1,False,92.0
Dickie Roberts: Former Child Star,Comedy,5.1,False,98.0
